Term, Object Type, Inscription Type, Inscription, Place Name, Latitude, Longitude, Tag
gladiator*,"ehreninschriftstatuenbasis","ehreninschrift","T(ito) Eppio T(iti) f(ilio) / Quir(ina) Latino / IIviro iur(e) dic(undo) / munic(ipii) Latob(icorum) / proc(uratori) Im[p(eratoris) Caes]aris / Traian[i Aug(usti) pat]r[i]s / [patriae] / ad c[ensus ac]c[ipiend(os)] / [provi]n[ciae --- proc(uratori)] / [familiar(um) gladiatoriaru]m / [provi]nc(iarum) [Hispaniaru]m / [ite]m pr[o]c(uratori) IIII p(ublicorum) Afr(icae) / p(ublice) d(ecreto) d(ecurionum)","Velike Malence",45.885993,15.5683594,honorific
gladiator*,"parallelepipedum","honorarius","[---] / [--- testame]nto suo dedit, ex quorum ṛ[editu] / [munus gladiatori]um colonìs Auxumatibus dar[etur], / [gladiatorum] paria sena alternìs annìs emerẹ[ntur], / [---] k(alendas) Iunias Auxumị p̣ụ[gn]arent qui[---] / [---] q̣uọt aṇnị̀ṣ eoque consụmerẹt[ur] / [---?]","Osimo (Ancona)",43.4884025,13.4785426,honorific
gladiator*,"basis, statua","sacer","Martei sacrạ / P(ublius) Curtius P(ubli) f(ilius) Salassu(s), / P(ublius) Titius L(uci) f(ilius) ⸢quattuorviri⸣, / de munere gladiator(io), / ex s(enatus) c(onsulto).","Canosa (Barletta-Andria-Trani)",43.1613966,-8.6861014,votive
gladiator*,"tabula","fasti, leges, acta","[---] / [---]+[---]+[---] / [--- I]ul(i-) gladiato[res editi] / [---]us L(ucius) Arruntius Es[--- IIvir(i)(?)] (duoviri) / [ex --- ad ---]t / [---]us, L(ucius) Volu[sius ---] / [---]o, L(ucius) Aponius [---] / [---]","Cupra Marittima (Ascoli Piceno)",43.0265271,13.8581917,legal
gladiator*,"basis, statua?","honorarius","C(aio) Titio C(ai) f(ilio) Cam(ilia) Valentino, / aedìli, q(uaestori), I̅I̅⸢duoviro⸣, qui testamen/to colonìs coloniae Ìul(iae) / Felic(is) Pisaur(i) decies centena / millia n̅u̅m̅(mum) dedit, ita ut per sing(ulos) / annos ex sestertiorum C̅C̅C̅C̅ (quadrigintorum milium) / usurìs populo epulum die / natalì Titi Maximi fili eius / divideretur et ex sestertiorûm / D̅C̅ (sescentorum milium) usuris quinto quoque an/no munus gladiatorium / ederêtur. / Plebs urbana.","Pesaro",43.9124756,12.9155494,honorific
gladiator*,"parallelepipedum","honorarius","[---?] / [---]ịọṇịọ [- f(ilio) Qui(rina) - - -] / [--- VII]⸢octoviro⸣ aeḍ(ilicia) [pot(estate) ---] / [in editione] ṃuneriṣ [gladiatorii] / [ob honorem patr]ọcinii [---] / [---?]","Norcia (Perugia)",42.7916746,13.0947335,honorific
gladiator*,"unbestimmt","unbestimmt","[---] / [---]liae C(ai) l(ibertae) Hila[rae] / [---] in Sabi[ni]s Foro N[ovo] / [---m]unus gladiator[ium] / [---]iones eiu[s] / [---]","Gavignano",41.7007297,13.0486902,
gladiator*,"basis, statua","honorarius","Q(uinto) Arruntio / Q(uinti) f(ilio) Vol(tinia) Iusto / q̅(uaestori), aed(ili), pat(rono) col(oniae), / pat(rono) mun(icipii) Saepin(atium), pat(rono) / mun(icipii) Vicentin(orum), pat(rono) et cur(atori) / r(ei) p(ublicae) ⸢Terventinatium⸣, sacer(doti) Tuscul(ano) / fanitali. / Ordo et populus / ob insign(em) fidem, ìndust̂r̂iam / erga se in civilib(us) ⸢officiis⸣ / [e]t splendor(em) muneris / gladiatori; / [adv]o[c]ato fisc(i) stat(ionis) hereditati(um).","Bojano (Campobasso)",41.4820727,14.4736937,honorific
gladiator*,"stela","fasti, leges, acta","E(xemplum) s(acri) r(escripti). / Imp(erator) Caes(ar) Fl(avius) Constantinus / Max(imus) Germ(anicus), Sarm(aticus), Got(hicus), victor, / triump(hator) Aug(ustus) et Fl(avius) Constantinus / et Fl(avius) Iul(ius) Constantius et Fl(avius) / Constans. / Omnia quidem, quae humani gene/ris societate(m) tuentur, pervigilium cu/rae cogitatione ⸢complectimur⸣, sed pro/visionum nostrarum opus maximus / est ut universae urbes, quas in luminibus provin/ciarum ⸢ac⸣ regionum omnium species et forma dis/tinguitur, non modo dignitate(m) pristinam teneant / sed etiam ad meliorem statum beneficentiae nos/trae munere ⸢provehantur⸣. Cum igitur ita vos Tusci/ae adsereretis esse coniunctos, ut ⸢instituto⸣ / consuetudinis priscae per singulas annorum vi/ces a vobis [a]⸢atque⸣ praedictis sacerdotes creentur, / qui ⸢apud⸣ Vulsinios Tusciae civitate(m) ludos / ⸢scaenicos⸣ et gladiatorum munus exhibeant, / sed, propter ardua montium et difficultates iti/nerum saltuosa(s), inpendio posceretis ut, indulto / remedio, sacerdoti vestro ob editiones cele/brandas Vulsinios pergere necesse non esset, / scilicet ut civitati, cui nunc Hispellum nomen / est quamque Flaminiae viae confinem ⸢atque⸣ con/tinuam esse memoratis, de nostro cognomine / nomen daremus, in qua templum Flaviae gentis / opere magnifico nimirum pro ⸢amplitudine⸣ / nuncupationis exsurgere(t) ibidemque ⸢is⸣ / sacerdos, quem anniversaria vice Umbria de/disset, spectaculum tam ⸢scaenicorum⸣ ludorum / quam gladiatorii muneris exhibere(t), manente / per Tuscia(m) ea consuetudine ut indidem cre/atus sacerdos ⸢apud⸣ Vulsinios ut solebat / editionum antedictarum spectacula fre/ quentare(t), ⸢praecationi⸣ ⸢ac⸣ desiderio vestro / facilis accessit noster adsensus. Nam civi/tati Hispello aeternum vocabulum nomenq(ue) / venerandum de nostra nuncupatione conces/simus, scilicet ut in posterum praedicta urbs / Flavia Constans vocetur, in cuius gremio / aedem quoque Flaviae, hoc est nostrae, gen/tis, ut desideratis, magnifico opere ⸢perfici⸣ / volumus, ea observatione perscripta, ne ae/dis nostro nomine dedicata cuiusquam con/ ⸢contagiosae⸣ superstitionis fraudibus polluatur. / Consequenter etiam editionum in prae/dicta civitate exhibendorum vobis / licentiam dedimus, scilicet ut, sicuti / dictum est, per vices temporis sollem/nitas editionum Vulsinios quoque non de/serat, ubi creati(s) e Tuscia sacerdotibus memo/rata celebritas exhibenda est. Ita quippe nec / veteribus institutis plurimum videbitur / derogatum et vos, qui ob praedictas causas / nobis supplices extitistis, ea quae inpen/dio postulastis, impetrata esse gaude/bitis.","Spello (Perugia)",42.987653,12.6711898,legal
gladiator*,"tabula?","honorarius","C(aio) Iulio [Apollonio] / decuria[l(i) Romae tribu]/nicio ite[m aedil(icio), accen]/ ⸢accenso⸣ vela[to, cur(atori) muner(is)] / glad(iatorii) tri[duo col(oniae) Fl(aviae) Aug(ustae)] / Puteol(anorum). Ḥịc̣ [---] / +o suo ((sestertium)) C̅[---] / [---?]","Caiazzo (Caserta)",41.17840830000001,14.3646988,honorific
