Term, Object Type, Inscription Type, Inscription, Modern Place Name, Modern Latitude, Modern Longitude
thraec*,unknown,unknown,/ T(h)r(aex) / Campanus / pug(narum) XX ⸢|⸣(coronarum) XX / [Bl]astus((?)) m(urmillo) d(e) s(uo) / dat,Nimes,43.836699,4.360054
thraec*,columna,cetera,ven[i]vit / mul(i)eri / D(ecimi) Lucreti Vale(ntis) / Onus(tus(?)) / eques I / r(ationis(?)) / Saga(tus) / t(h)r(aex) / m(urmillo) / I (rationis),Pompei (Napoli),40.7461572,14.4989344
thraec*,vaso,estampilla,[L]origa / [Me]nto/[nianus vicit] / t(hraex) Clad[dus) / Me[nto/nianus / vicit [o(plomachus) - - -]lia Municipio Calag[orri Iulia] C(aius) Val(erius) Verdull(us pingit),Velilla de Ebro,41.3743809,-0.4369722
thraec*,vaso,estampilla,- - - - - - / obi(t) / t(hraex),Pradejón,42.3334209,-2.0689709
thraec*,unbestimmt,unbestimmt,Dis Manibus / Aptus l(ibertus) / T(h)raex,Italien,41.87194,12.56738
thraec*,unknown,unknown,/ P(ublius) Folius Potitus / thraex,Patrai,38.2466395,21.734574
thraec*,unknown,unknown,/ Dian(a)e / Nemesi / Aur(elius) / Avitus / t(h)r(aex) d(edit) l(ibens) l(aetus) m(erito),Koln,50.937531,6.9602786
thraec*,unknown,unknown,T(h)r(aex) / Gratus / Cetheg(ianus) XVII / h(ic) s(itus) e(st) pos⸢u⸣it / Ferox,Vienne,48.2081743,16.3738189
thraec*,unknown,unknown,/ Didio[---] / T(h)raex (sic) m[il(es) e]x clas(se) / [Britan(nica)] stipen(diorum) XXXV / [vix(it) a]n(os) LXV / [h(ic) s(itus)] est,Boulogne-sur-Mer,50.725231,1.613334
thraec*,parallelepipedum?,sepulcralis,[--- Ca]llicarpus, t(hraex), m(issus) X, d(eceptus) XI, ((miles galeatus cum scuto)) ỌḲ C̣Ạ[---] /,Atripalda (Avellino),40.9169098,14.8307735
thraec*,tafel,militärdiplom,Ti(berius) Claudius Caesar Augustus Germanic(us) / pontifex maxim(us) tribunic(ia) potest(ate) X[IIII] / imp(erator) XX[VII p(ater) p(atriae)] censor co(n)s(ul) [V] / equitibus qui militant in alis quin[que] / quae appellantur veterana Gallorum / et Thraecum (sic) et Gall[o]rum et Thraecum (sic) / [A]ntiana et Gallorum et Thraecum (sic)[--- ---] / cum uxoribus quas tunc habu/issent cum est civitas iis / data aut si qui caelibes essent / cum iis quas postea duxissent / dumtaxat singuli singulas / a(nte) d(iem) XIIII K(alendas) Iulias / M(arco) Asinio Marcello M(anio) Acilio Aviola co(n)s(ulibus) / alae Gallorum et Thraecum (sic) Anti/ana(e) cui praeest M(arcus) Milonius Verus / Iunianus / equiti / Romaestae Rescenti f(ilio) Spiuro / descriptum et recognitum ex ta/bula ahenea (sic) quae fixa est in capi/tolio in aedem opis in pronaevo (sic) / latere dexteriore Sex(ti) Magi B(essi) / Rufi nauarchi / C(ai) Cassi Longi/ni tribuni B(essi) / M(arci) Valeri Fir/mi tribuni / L(uci) Numeri Lupi / tribuni B(essi) / M(arci) Titini Macri / centurionis / Sex(ti) Apulei Ma/cri centurio(nis) / L(uci) Valeri Vol/seni m[i]ssic⸢i⸣ / Bessi,Glavinitsa,43.9111814,26.8343379
thraec*,cippus,sacer,Heis(ce) mag(istreis) Cer(eri) / d(onum) d(ant) / Philodam(us) Titîn̂i C(ai) s(ervus) / Mnasia(s) Plaut(iorum) A(uli) M(arci) / C(aius) Magn(ius) L(uci) l(ibertus) Philod(amus) / M(arcus) Epidi(us) M(arci) l(ibertus) Cresi(mus) / Licinus Larci P(ubli) s(ervus) / Metra(s) Pulli M(arci) s(ervus) / Archelavos Arân̂i P(ubli) 〈:s(ervus)〉 / Antioc(hus) Saufei A(uli) s(ervus) / T(h)raecid(es) Sab<i>d(i) L(uci) s(ervus) / Ĥeliodor(us) Aebût(i) L(uci) s(ervus) / Statius Epidi M(arci) s(ervus) / Agat(h)o(n) Saufei M(arci) s(ervus),Minturno (Latina),41.2657426,13.7443642
thraec*,basis,sepulcralis,Trecidae, (Thraecidae) P(ubli) Nanoni / Nepotis ̲ser(vo); v(ixit) a(nnis) XVI.,Teggiano (Salerno),40.378506,15.5393774
