Term, Object Type, Inscription Type, Inscription, Modern Place Name, Modern Latitude, Modern Longitude
thraex,unknown,unknown,/ T(h)r(aex) / Campanus / pug(narum) XX ⸢|⸣(coronarum) XX / [Bl]astus((?)) m(urmillo) d(e) s(uo) / dat,Nimes,43.836699,4.360054
thraex,columna,cetera,ven[i]vit / mul(i)eri / D(ecimi) Lucreti Vale(ntis) / Onus(tus(?)) / eques I / r(ationis(?)) / Saga(tus) / t(h)r(aex) / m(urmillo) / I (rationis),Pompei (Napoli),40.7461572,14.4989344
thraex,vaso,estampilla,[L]origa / [Me]nto/[nianus vicit] / t(hraex) Clad[dus) / Me[nto/nianus / vicit [o(plomachus) - - -]lia Municipio Calag[orri Iulia] C(aius) Val(erius) Verdull(us pingit),Velilla de Ebro,41.3743809,-0.4369722
thraex,vaso,estampilla,- - - - - - / obi(t) / t(hraex),Pradejón,42.3334209,-2.0689709
thraex,unbestimmt,unbestimmt,Dis Manibus / Aptus l(ibertus) / T(h)raex,Italien,41.87194,12.56738
thraex,unknown,unknown,/ P(ublius) Folius Potitus / thraex,Patrai,38.2466395,21.734574
thraex,unknown,unknown,/ Dian(a)e / Nemesi / Aur(elius) / Avitus / t(h)r(aex) d(edit) l(ibens) l(aetus) m(erito),Koln,50.937531,6.9602786
thraex,unknown,unknown,T(h)r(aex) / Gratus / Cetheg(ianus) XVII / h(ic) s(itus) e(st) pos⸢u⸣it / Ferox,Vienne,48.2081743,16.3738189
thraex,unknown,unknown,/ Didio[---] / T(h)raex (sic) m[il(es) e]x clas(se) / [Britan(nica)] stipen(diorum) XXXV / [vix(it) a]n(os) LXV / [h(ic) s(itus)] est,Boulogne-sur-Mer,50.725231,1.613334
thraex,parallelepipedum?,sepulcralis,[--- Ca]llicarpus, t(hraex), m(issus) X, d(eceptus) XI, ((miles galeatus cum scuto)) ỌḲ C̣Ạ[---] /,Atripalda (Avellino),40.9169098,14.8307735
