pl_id, normal, name, source, gn_id, pleiades_centroid_x, pleiades_centroid_y
404,notfound,Not Found,pleiades,,,
766,aegyptus,Aegyptus,pleiades,,32.5,32.5
772,aethusa,Aethusa Ins.,pleiades,,12.5,37.5
775,africa,Africa,pleiades,,7.5,32.5
776,africummare,Africum Mare,pleiades,,,
783,alpes,Alpes M.,pleiades,,7.5,42.5
798,asana,Asana fl.,pleiades,,-7.5,32.5
798,anatis,Anatis,pleiades,,-7.5,32.5
815,apenninus,Apenninus M.,pleiades,,12.5,42.5
815,appenninus,Appenninus M.,pleiades,,12.5,42.5
837,asiaminor,Asia Minor,pleiades,,27.5,37.5
845,atlanticusoceanus,Atlanticus Oceanus,pleiades,,-12.5,37.5
846,atlas,Atlas M.,pleiades,,-7.5,32.5
862,baetica,Baetica,pleiades,,-2.5,37.5
993,gallia,Gallia,pleiades,,2.5,47.5
1000,germaniasuperior,Germania Superior,pleiades,,7.5,47.5
1004,adriaticum,Adriaticum,pleiades,,12.5,42.5
1004,superummare,Superum Mare,pleiades,,12.5,42.5
1004,hadriaticum,HAdriaticum,pleiades,,12.5,42.5
1027,hispania,Hispania,pleiades,,-7.5,42.5
1033,ibericummare,Ibericum Mare,pleiades,,-2.5,37.5
1043,internummare,Internum Mare,pleiades,,17.5,32.5
1046,ioniummare,Ionium Mare,pleiades,,17.5,37.5
1052,italia,Italia,pleiades,,12.5,42.5
1063,karpatesoros,Karpates Oros,pleiades,,22.5,47.5
1094,lopadusa,Lopadusa Ins.,pleiades,,12.5,37.5
1101,lusitania,Lusitania,pleiades,,-7.5,37.5
1113,magnagraecia,Magna Graecia,pleiades,,17.5,37.5
1119,mauretania,Mauretania,pleiades,,-2.5,32.5
1136,moesiasuperior,Moesia Superior,pleiades,,22.5,42.5
1224,pontuseuxinus,Pontus Euxinus,pleiades,,32.5,42.5
1249,rutubis,Rutubis,pleiades,,-7.5,32.5
1273,scythia,Scythia,pleiades,,27.5,47.5
1282,siculum,Siculum,pleiades,,17.5,37.5
1282,ausoniummare,Ausonium Mare,pleiades,,17.5,37.5
1306,syria,Syria,pleiades,,37.5,37.5
